season,player_api_id,poste_groupe,overall_rating,pct_titularisation,titularisations,matchs_connus,rang_note,rang_temps
2013/2014,26797,Défenseur,67,20.6,7,34,35.0,18.0
2013/2014,427850,Défenseur,63,20.6,7,34,15.0,18.0
2013/2014,69833,Défenseur,76,20.6,7,34,82.0,18.0
2013/2014,29590,Défenseur,80,21.1,8,38,94.0,19.0
2013/2014,213499,Défenseur,71,21.1,8,38,55.0,19.0
2013/2014,39201,Défenseur,71,21.1,8,38,55.0,19.0
2013/2014,362195,Défenseur,67,21.1,8,38,35.0,19.0
2013/2014,352833,Défenseur,67,21.1,8,38,35.0,19.0
2013/2014,128037,Défenseur,77,21.1,8,38,86.0,19.0
2013/2014,27411,Défenseur,73,21.1,8,38,66.0,19.0
2013/2014,12766,Défenseur,76,21.1,8,38,82.0,19.0
2013/2014,182921,Défenseur,77,21.1,8,38,86.0,19.0
2013/2014,32969,Défenseur,63,21.1,8,38,15.0,19.0
2013/2014,154229,Défenseur,69,21.1,8,38,45.0,19.0
2013/2014,33086,Défenseur,81,21.1,8,38,96.0,19.0
2013/2014,26354,Défenseur,72,21.1,8,38,59.0,19.0
2013/2014,193859,Défenseur,68,21.1,8,38,40.0,19.0
2013/2014,173885,Défenseur,71,21.1,8,38,55.0,19.0
2013/2014,37622,Défenseur,69,21.1,8,38,45.0,19.0
2013/2014,46244,Défenseur,62,21.1,8,38,12.0,19.0
2013/2014,176303,Défenseur,55,21.1,8,38,2.0,19.0
2013/2014,168148,Défenseur,55,21.1,8,38,2.0,19.0
2013/2014,260486,Défenseur,59,21.1,8,38,5.0,19.0
2013/2014,265727,Défenseur,62,21.1,8,38,12.0,19.0
2013/2014,424918,Défenseur,59,21.1,8,38,5.0,19.0
2013/2014,150007,Défenseur,70,22.2,8,36,50.0,21.0
2013/2014,274779,Défenseur,55,22.2,8,36,2.0,21.0
2013/2014,97515,Défenseur,73,23.3,7,30,66.0,21.0
2013/2014,150268,Défenseur,71,23.3,7,30,55.0,21.0
2013/2014,68962,Défenseur,66,23.3,7,30,29.0,21.0
2013/2014,11796,Défenseur,65,23.3,7,30,24.0,21.0
2013/2014,306128,Défenseur,70,23.3,7,30,50.0,21.0
2013/2014,12405,Défenseur,63,23.3,7,30,15.0,21.0
2013/2014,40951,Défenseur,65,23.3,7,30,24.0,21.0
2013/2014,72543,Défenseur,66,23.3,7,30,29.0,21.0
2013/2014,27492,Défenseur,74,23.5,8,34,71.0,22.0
2013/2014,46079,Défenseur,65,23.5,8,34,24.0,22.0
2013/2014,141115,Défenseur,65,23.5,8,34,24.0,22.0
2013/2014,24228,Défenseur,76,23.7,9,38,82.0,22.0
2013/2014,79013,Défenseur,72,23.7,9,38,59.0,22.0
2013/2014,40132,Défenseur,67,23.7,9,38,35.0,22.0
2013/2014,42703,Défenseur,69,23.7,9,38,45.0,22.0
2013/2014,184132,Défenseur,70,23.7,9,38,50.0,22.0
2013/2014,280977,Défenseur,71,23.7,9,38,55.0,22.0
2013/2014,31701,Défenseur,72,23.7,9,38,59.0,22.0
2013/2014,199810,Défenseur,68,23.7,9,38,40.0,22.0
2013/2014,179407,Défenseur,68,23.7,9,38,40.0,22.0
2013/2014,72542,Défenseur,71,23.7,9,38,55.0,22.0
2013/2014,303155,Défenseur,57,23.7,9,38,3.0,22.0
2013/2014,154238,Défenseur,61,23.7,9,38,9.0,22.0
2013/2014,444000,Défenseur,59,23.7,9,38,5.0,22.0
2013/2014,42257,Défenseur,58,25.0,9,36,4.0,23.0
2013/2014,27684,Défenseur,74,26.3,10,38,71.0,23.0
2013/2014,39470,Défenseur,65,26.3,10,38,24.0,23.0
2013/2014,30918,Défenseur,71,26.3,10,38,55.0,23.0
2013/2014,169162,Défenseur,68,26.3,10,38,40.0,23.0
2013/2014,32891,Défenseur,65,26.3,10,38,24.0,23.0
2013/2014,24622,Défenseur,77,26.3,10,38,86.0,23.0
2013/2014,33865,Défenseur,74,26.3,10,38,71.0,23.0
2013/2014,303139,Défenseur,57,26.3,10,38,3.0,23.0
2013/2014,449205,Défenseur,54,26.3,10,38,2.0,23.0
2013/2014,244525,Défenseur,61,26.3,10,38,9.0,23.0
2013/2014,43061,Défenseur,76,26.5,9,34,82.0,24.0
2013/2014,45824,Défenseur,67,26.5,9,34,35.0,24.0
2013/2014,441164,Défenseur,59,26.5,9,34,5.0,24.0
2013/2014,23947,Défenseur,69,26.7,8,30,45.0,24.0
2013/2014,267720,Défenseur,66,26.7,8,30,29.0,24.0
2013/2014,361315,Défenseur,70,26.7,8,30,50.0,24.0
2013/2014,11801,Défenseur,63,26.7,8,30,15.0,24.0
2013/2014,45357,Défenseur,65,26.7,8,30,24.0,24.0
2013/2014,150081,Défenseur,76,26.7,8,30,82.0,24.0
2013/2014,71775,Défenseur,66,26.7,8,30,29.0,24.0
2013/2014,42116,Défenseur,80,27.8,10,36,94.0,25.0
2013/2014,113318,Défenseur,78,28.9,11,38,89.0,25.0
2013/2014,213485,Défenseur,77,28.9,11,38,86.0,25.0
2013/2014,121872,Défenseur,72,28.9,11,38,59.0,25.0
2013/2014,280890,Défenseur,66,28.9,11,38,29.0,25.0
2013/2014,23780,Défenseur,73,28.9,11,38,66.0,25.0
2013/2014,73024,Défenseur,75,28.9,11,38,78.0,25.0
2013/2014,163971,Défenseur,73,28.9,11,38,66.0,25.0
2013/2014,26108,Défenseur,80,28.9,11,38,94.0,25.0
2013/2014,384144,Défenseur,58,28.9,11,38,4.0,25.0
2013/2014,308932,Défenseur,62,28.9,11,38,12.0,25.0
2013/2014,33338,Défenseur,75,29.4,10,34,78.0,26.0
2013/2014,209361,Défenseur,66,29.4,10,34,29.0,26.0
2013/2014,27415,Défenseur,73,29.4,10,34,66.0,26.0
2013/2014,33085,Défenseur,78,29.4,10,34,89.0,26.0
2013/2014,149855,Défenseur,67,29.4,10,34,35.0,26.0
2013/2014,71399,Défenseur,82,29.4,10,34,97.0,26.0
2013/2014,389845,Défenseur,61,29.4,10,34,9.0,26.0
2013/2014,186531,Défenseur,63,30.0,9,30,15.0,26.0
2013/2014,31019,Défenseur,65,30.0,9,30,24.0,26.0
2013/2014,69601,Défenseur,69,30.0,9,30,45.0,26.0
2013/2014,150082,Défenseur,67,30.0,9,30,35.0,26.0
2013/2014,13477,Défenseur,65,30.0,9,30,24.0,26.0
2013/2014,98383,Défenseur,65,30.0,9,30,24.0,26.0
2013/2014,22714,Défenseur,72,30.6,11,36,59.0,27.0
2013/2014,32553,Défenseur,63,31.6,12,38,15.0,27.0
2013/2014,26119,Défenseur,73,31.6,12,38,66.0,27.0
2013/2014,71500,Défenseur,76,31.6,12,38,82.0,27.0
2013/2014,41092,Défenseur,77,31.6,12,38,86.0,27.0
2013/2014,230993,Défenseur,72,31.6,12,38,59.0,27.0
2013/2014,127894,Défenseur,68,31.6,12,38,40.0,27.0
2013/2014,156716,Défenseur,70,31.6,12,38,50.0,27.0
2013/2014,30620,Défenseur,83,31.6,12,38,98.0,27.0
2013/2014,213688,Défenseur,75,31.6,12,38,78.0,27.0
2013/2014,93484,Défenseur,75,31.6,12,38,78.0,27.0
2013/2014,38899,Défenseur,77,31.6,12,38,86.0,27.0
2013/2014,230982,Défenseur,81,31.6,12,38,96.0,27.0
2013/2014,291642,Défenseur,57,31.6,12,38,3.0,27.0
2013/2014,244398,Défenseur,65,32.4,11,34,24.0,28.0
2013/2014,243465,Défenseur,63,32.4,11,34,15.0,28.0
2013/2014,413155,Défenseur,63,32.4,11,34,15.0,28.0
2013/2014,37201,Défenseur,62,32.4,11,34,12.0,28.0
2013/2014,198099,Défenseur,65,33.3,10,30,24.0,28.0
2013/2014,35768,Défenseur,64,33.3,12,36,19.0,28.0
2013/2014,181548,Défenseur,69,33.3,10,30,45.0,28.0
2013/2014,80184,Défenseur,69,33.3,10,30,45.0,28.0
2013/2014,9449,Défenseur,67,33.3,10,30,35.0,28.0
2013/2014,37823,Défenseur,63,33.3,2,6,15.0,28.0
2013/2014,34268,Défenseur,66,33.3,12,36,29.0,28.0
2013/2014,169806,Défenseur,66,33.3,12,36,29.0,28.0
2013/2014,242879,Défenseur,61,33.3,10,30,9.0,28.0
2013/2014,169594,Défenseur,61,33.3,2,6,9.0,28.0
2013/2014,265275,Défenseur,71,34.2,13,38,55.0,29.0
2013/2014,112704,Défenseur,63,34.2,13,38,15.0,29.0
2013/2014,40730,Défenseur,77,34.2,13,38,86.0,29.0
2013/2014,193223,Défenseur,74,34.2,13,38,71.0,29.0
2013/2014,39490,Défenseur,65,34.2,13,38,24.0,29.0
2013/2014,23931,Défenseur,69,34.2,13,38,45.0,29.0
2013/2014,32579,Défenseur,77,34.2,13,38,86.0,29.0
2013/2014,18501,Défenseur,69,34.2,13,38,45.0,29.0
2013/2014,26345,Défenseur,74,34.2,13,38,71.0,29.0
2013/2014,38521,Défenseur,78,34.2,13,38,89.0,29.0
2013/2014,40001,Défenseur,77,34.2,13,38,86.0,29.0
2013/2014,41478,Défenseur,71,34.2,13,38,55.0,29.0
2013/2014,231753,Défenseur,72,34.2,13,38,59.0,29.0
2013/2014,30492,Défenseur,83,34.2,13,38,98.0,29.0
2013/2014,98057,Défenseur,62,34.2,13,38,12.0,29.0
2013/2014,186805,Défenseur,56,34.2,13,38,3.0,29.0
2013/2014,147614,Défenseur,76,35.3,12,34,82.0,31.0
2013/2014,185554,Défenseur,68,35.3,12,34,40.0,31.0
2013/2014,182228,Défenseur,64,35.3,12,34,19.0,31.0
2013/2014,91503,Défenseur,64,35.3,12,34,19.0,31.0
2013/2014,29673,Défenseur,72,35.3,12,34,59.0,31.0
2013/2014,26708,Défenseur,66,35.3,12,34,29.0,31.0
2013/2014,27307,Défenseur,70,35.3,12,34,50.0,31.0
2013/2014,30835,Défenseur,68,36.1,13,36,40.0,31.0
2013/2014,38625,Défenseur,64,36.1,13,36,19.0,31.0
2013/2014,181275,Défenseur,59,36.1,13,36,5.0,31.0
2013/2014,164083,Défenseur,62,36.7,11,30,12.0,32.0
2013/2014,33807,Défenseur,63,36.7,11,30,15.0,32.0
2013/2014,43321,Défenseur,64,36.7,11,30,19.0,32.0
2013/2014,304019,Défenseur,63,36.7,11,30,15.0,32.0
2013/2014,74827,Défenseur,68,36.7,11,30,40.0,32.0
2013/2014,275765,Défenseur,60,36.7,11,30,7.0,32.0
2013/2014,393287,Défenseur,53,36.7,11,30,1.0,32.0
2013/2014,432825,Défenseur,48,36.7,11,30,0.0,32.0
2013/2014,24443,Défenseur,69,36.8,14,38,45.0,32.0
2013/2014,242156,Défenseur,67,36.8,14,38,35.0,32.0
2013/2014,2752,Défenseur,72,36.8,14,38,59.0,32.0
2013/2014,73841,Défenseur,70,36.8,14,38,50.0,32.0
2013/2014,35244,Défenseur,80,36.8,14,38,94.0,32.0
2013/2014,46708,Défenseur,68,36.8,14,38,40.0,32.0
2013/2014,93457,Défenseur,72,36.8,14,38,59.0,32.0
2013/2014,23837,Défenseur,72,36.8,14,38,59.0,32.0
2013/2014,72417,Défenseur,68,36.8,14,38,40.0,32.0
2013/2014,31303,Défenseur,72,36.8,14,38,59.0,32.0
2013/2014,181203,Défenseur,72,36.8,14,38,59.0,32.0
2013/2014,58499,Défenseur,74,36.8,14,38,71.0,32.0
2013/2014,25521,Défenseur,70,36.8,14,38,50.0,32.0
2013/2014,96616,Défenseur,81,36.8,14,38,96.0,32.0
2013/2014,150739,Défenseur,82,36.8,14,38,97.0,32.0
2013/2014,24484,Défenseur,76,36.8,14,38,82.0,32.0
2013/2014,49543,Défenseur,80,36.8,14,38,94.0,32.0
2013/2014,23081,Défenseur,62,36.8,14,38,12.0,32.0
2013/2014,19285,Défenseur,72,36.8,14,38,59.0,32.0
2013/2014,26236,Défenseur,71,36.8,14,38,55.0,32.0
2013/2014,37442,Défenseur,78,36.8,14,38,89.0,32.0
2013/2014,30839,Défenseur,78,36.8,14,38,89.0,32.0
2013/2014,41067,Défenseur,64,36.8,14,38,19.0,32.0
2013/2014,157288,Défenseur,74,36.8,14,38,71.0,32.0
2013/2014,248169,Défenseur,61,36.8,14,38,9.0,32.0
2013/2014,97502,Défenseur,61,36.8,14,38,9.0,32.0
2013/2014,200962,Défenseur,78,38.2,13,34,89.0,35.0
2013/2014,467495,Défenseur,63,38.2,13,34,15.0,35.0
2013/2014,20396,Défenseur,77,38.2,13,34,86.0,35.0
2013/2014,27412,Défenseur,73,38.2,13,34,66.0,35.0
2013/2014,202663,Défenseur,65,38.9,14,36,24.0,35.0
2013/2014,114769,Défenseur,77,39.5,15,38,86.0,35.0
2013/2014,39696,Défenseur,64,39.5,15,38,19.0,35.0
2013/2014,41707,Défenseur,78,39.5,15,38,89.0,35.0
2013/2014,38025,Défenseur,74,39.5,15,38,71.0,35.0
2013/2014,41655,Défenseur,71,39.5,15,38,55.0,35.0
2013/2014,70949,Défenseur,69,39.5,15,38,45.0,35.0
2013/2014,263653,Défenseur,68,39.5,15,38,40.0,35.0
2013/2014,40022,Défenseur,67,39.5,15,38,35.0,35.0
2013/2014,185925,Défenseur,74,39.5,15,38,71.0,35.0
2013/2014,210111,Défenseur,75,39.5,15,38,78.0,35.0
2013/2014,26118,Défenseur,70,39.5,15,38,50.0,35.0
2013/2014,177874,Défenseur,68,39.5,15,38,40.0,35.0
2013/2014,30831,Défenseur,80,39.5,15,38,94.0,35.0
2013/2014,288613,Défenseur,77,39.5,15,38,86.0,35.0
2013/2014,28907,Défenseur,72,39.5,15,38,59.0,35.0
2013/2014,102630,Défenseur,72,39.5,15,38,59.0,35.0
2013/2014,210922,Défenseur,67,39.5,15,38,35.0,35.0
2013/2014,52133,Défenseur,80,39.5,15,38,94.0,35.0
2013/2014,41412,Défenseur,78,39.5,15,38,89.0,35.0
2013/2014,89475,Défenseur,68,39.5,15,38,40.0,35.0
2013/2014,38834,Défenseur,84,39.5,15,38,99.0,35.0
2013/2014,34952,Défenseur,78,39.5,15,38,89.0,35.0
2013/2014,182567,Défenseur,60,39.5,15,38,7.0,35.0
2013/2014,114827,Défenseur,68,40.0,12,30,40.0,37.0
2013/2014,40180,Défenseur,60,40.0,12,30,7.0,37.0
2013/2014,429847,Défenseur,55,40.0,12,30,2.0,37.0
2013/2014,278153,Défenseur,60,40.0,12,30,7.0,37.0
2013/2014,331528,Défenseur,62,41.2,14,34,12.0,37.0
2013/2014,37789,Défenseur,70,41.2,14,34,50.0,37.0
2013/2014,45482,Défenseur,65,41.2,14,34,24.0,37.0
2013/2014,34420,Défenseur,73,41.2,14,34,66.0,37.0
2013/2014,42704,Défenseur,71,41.2,14,34,55.0,37.0
2013/2014,27320,Défenseur,73,41.2,14,34,66.0,37.0
2013/2014,278831,Défenseur,71,41.2,14,34,55.0,37.0
2013/2014,27472,Défenseur,73,41.2,14,34,66.0,37.0
2013/2014,263796,Défenseur,62,41.7,15,36,12.0,38.0
2013/2014,23922,Défenseur,70,42.1,16,38,50.0,38.0
2013/2014,40721,Défenseur,68,42.1,16,38,40.0,38.0
2013/2014,177837,Défenseur,73,42.1,16,38,66.0,38.0
2013/2014,210704,Défenseur,73,42.1,16,38,66.0,38.0
2013/2014,47565,Défenseur,74,42.1,16,38,71.0,38.0
2013/2014,25984,Défenseur,83,42.1,16,38,98.0,38.0
2013/2014,46645,Défenseur,68,42.1,16,38,40.0,38.0
2013/2014,39555,Défenseur,79,42.1,16,38,92.0,38.0
2013/2014,46391,Défenseur,73,42.1,16,38,66.0,38.0
2013/2014,32616,Défenseur,71,42.1,16,38,55.0,38.0
2013/2014,41121,Défenseur,70,42.1,16,38,50.0,38.0
2013/2014,115297,Défenseur,74,42.1,16,38,71.0,38.0
2013/2014,201916,Défenseur,63,42.1,16,38,15.0,38.0
2013/2014,196203,Défenseur,68,42.1,16,38,40.0,38.0
2013/2014,202553,Défenseur,71,42.1,16,38,55.0,38.0
2013/2014,98027,Défenseur,65,43.3,13,30,24.0,39.0
2013/2014,280906,Défenseur,69,43.3,13,30,45.0,39.0
2013/2014,174321,Défenseur,80,43.3,13,30,94.0,39.0
2013/2014,116871,Défenseur,63,43.3,13,30,15.0,39.0
2013/2014,69214,Défenseur,63,43.3,13,30,15.0,39.0
2013/2014,444186,Défenseur,55,43.3,13,30,2.0,39.0
2013/2014,145561,Défenseur,73,44.1,15,34,66.0,40.0
2013/2014,155534,Défenseur,74,44.1,15,34,71.0,40.0
2013/2014,277608,Défenseur,67,44.1,15,34,35.0,40.0
2013/2014,305132,Défenseur,67,44.1,15,34,35.0,40.0
2013/2014,13518,Défenseur,82,44.1,15,34,97.0,40.0
2013/2014,51841,Défenseur,71,44.1,15,34,55.0,40.0
2013/2014,26587,Défenseur,63,44.1,15,34,15.0,40.0
2013/2014,281086,Défenseur,68,44.1,15,34,40.0,40.0
2013/2014,299572,Défenseur,67,44.1,15,34,35.0,40.0
2013/2014,27302,Défenseur,70,44.1,15,34,50.0,40.0
2013/2014,22834,Défenseur,72,44.4,16,36,59.0,41.0
2013/2014,239350,Défenseur,63,44.7,17,38,15.0,41.0
2013/2014,281207,Défenseur,73,44.7,17,38,66.0,41.0
2013/2014,35324,Défenseur,71,44.7,17,38,55.0,41.0
2013/2014,191136,Défenseur,74,44.7,17,38,71.0,41.0
2013/2014,94043,Défenseur,81,44.7,17,38,96.0,41.0
2013/2014,24130,Défenseur,75,44.7,17,38,78.0,41.0
2013/2014,43248,Défenseur,79,44.7,17,38,92.0,41.0
2013/2014,93985,Défenseur,78,44.7,17,38,89.0,41.0
2013/2014,267365,Défenseur,76,44.7,17,38,82.0,41.0
2013/2014,32574,Défenseur,75,44.7,17,38,78.0,41.0
2013/2014,2768,Défenseur,71,44.7,17,38,55.0,41.0
2013/2014,195305,Défenseur,74,44.7,17,38,71.0,41.0
2013/2014,97521,Défenseur,65,44.7,17,38,24.0,41.0
2013/2014,288320,Défenseur,57,44.7,17,38,3.0,41.0
2013/2014,306507,Défenseur,63,46.7,14,30,15.0,42.0
2013/2014,45294,Défenseur,65,46.7,14,30,24.0,42.0
2013/2014,276734,Défenseur,64,46.7,14,30,19.0,42.0
2013/2014,13349,Défenseur,60,46.7,14,30,7.0,42.0
2013/2014,78537,Défenseur,61,46.7,14,30,9.0,42.0
2013/2014,375783,Défenseur,61,46.7,14,30,9.0,42.0
2013/2014,212915,Défenseur,69,47.1,16,34,45.0,43.0
2013/2014,240367,Défenseur,70,47.1,16,34,50.0,43.0
2013/2014,33579,Défenseur,74,47.1,16,34,71.0,43.0
2013/2014,166932,Défenseur,69,47.1,16,34,45.0,43.0
2013/2014,115670,Défenseur,72,47.1,16,34,59.0,43.0
2013/2014,42304,Défenseur,66,47.2,17,36,29.0,43.0
2013/2014,42527,Défenseur,68,47.2,17,36,40.0,43.0
2013/2014,173609,Défenseur,53,47.2,17,36,1.0,43.0
2013/2014,35110,Défenseur,74,47.4,18,38,71.0,43.0
2013/2014,33959,Défenseur,69,47.4,18,38,45.0,43.0
2013/2014,32087,Défenseur,66,47.4,18,38,29.0,43.0
2013/2014,38994,Défenseur,66,47.4,18,38,29.0,43.0
2013/2014,39229,Défenseur,71,47.4,18,38,55.0,43.0
2013/2014,183715,Défenseur,73,47.4,18,38,66.0,43.0
2013/2014,31291,Défenseur,81,47.4,18,38,96.0,43.0
2013/2014,39079,Défenseur,63,47.4,18,38,15.0,43.0
2013/2014,209950,Défenseur,71,47.4,18,38,55.0,43.0
2013/2014,74757,Défenseur,72,47.4,18,38,59.0,43.0
2013/2014,40621,Défenseur,78,47.4,18,38,89.0,43.0
2013/2014,41865,Défenseur,72,47.4,18,38,59.0,43.0
2013/2014,93488,Défenseur,74,47.4,18,38,71.0,43.0
2013/2014,303360,Défenseur,63,47.4,18,38,15.0,43.0
2013/2014,74435,Défenseur,70,47.4,18,38,50.0,43.0
2013/2014,30603,Défenseur,80,47.4,18,38,94.0,43.0
2013/2014,24161,Défenseur,68,47.4,18,38,40.0,43.0
2013/2014,94033,Défenseur,65,47.4,18,38,24.0,43.0
2013/2014,280965,Défenseur,65,47.4,18,38,24.0,43.0
2013/2014,29049,Défenseur,60,47.4,18,38,7.0,43.0
2013/2014,24275,Défenseur,62,47.4,18,38,12.0,43.0
2013/2014,425255,Défenseur,60,47.4,18,38,7.0,43.0
2013/2014,214617,Défenseur,61,47.4,18,38,9.0,43.0
2013/2014,34104,Défenseur,72,50.0,19,38,59.0,45.0
2013/2014,111800,Défenseur,73,50.0,19,38,66.0,45.0
2013/2014,242783,Défenseur,67,50.0,19,38,35.0,45.0
2013/2014,35480,Défenseur,66,50.0,19,38,29.0,45.0
2013/2014,72813,Défenseur,74,50.0,17,34,71.0,45.0
2013/2014,10950,Défenseur,68,50.0,17,34,40.0,45.0
2013/2014,150041,Défenseur,78,50.0,15,30,89.0,45.0
2013/2014,26522,Défenseur,78,50.0,19,38,89.0,45.0
2013/2014,38795,Défenseur,73,50.0,17,34,66.0,45.0
2013/2014,77767,Défenseur,76,50.0,19,38,82.0,45.0
2013/2014,27719,Défenseur,70,50.0,19,38,50.0,45.0
2013/2014,26606,Défenseur,63,50.0,3,6,15.0,45.0
2013/2014,110142,Défenseur,64,50.0,17,34,19.0,45.0
2013/2014,154276,Défenseur,64,50.0,3,6,19.0,45.0
2013/2014,182224,Défenseur,76,50.0,19,38,82.0,45.0
2013/2014,150080,Défenseur,75,50.0,19,38,78.0,45.0
2013/2014,93343,Défenseur,69,50.0,19,38,45.0,45.0
2013/2014,191994,Défenseur,68,50.0,17,34,40.0,45.0
2013/2014,36085,Défenseur,64,50.0,17,34,19.0,45.0
2013/2014,181297,Défenseur,75,50.0,19,38,78.0,45.0
2013/2014,13474,Défenseur,66,50.0,15,30,29.0,45.0
2013/2014,38703,Défenseur,75,50.0,19,38,78.0,45.0
2013/2014,406257,Défenseur,71,50.0,19,38,55.0,45.0
2013/2014,49451,Défenseur,67,50.0,3,6,35.0,45.0
2013/2014,27660,Défenseur,77,50.0,19,38,86.0,45.0
2013/2014,30914,Défenseur,76,52.6,20,38,82.0,47.0
2013/2014,42388,Défenseur,81,52.6,20,38,96.0,47.0
2013/2014,45237,Défenseur,76,52.6,20,38,82.0,47.0
2013/2014,33960,Défenseur,75,52.6,20,38,78.0,47.0
2013/2014,157838,Défenseur,75,52.6,20,38,78.0,47.0
2013/2014,43259,Défenseur,70,52.6,20,38,50.0,47.0
2013/2014,281019,Défenseur,74,52.6,20,38,71.0,47.0
2013/2014,26052,Défenseur,70,52.6,20,38,50.0,47.0
2013/2014,40740,Défenseur,74,52.6,20,38,71.0,47.0
2013/2014,18880,Défenseur,79,52.6,20,38,92.0,47.0
2013/2014,172147,Défenseur,72,52.6,20,38,59.0,47.0
2013/2014,37604,Défenseur,80,52.6,20,38,94.0,47.0
2013/2014,93332,Défenseur,64,52.6,20,38,19.0,47.0
2013/2014,39419,Défenseur,72,52.6,20,38,59.0,47.0
2013/2014,24970,Défenseur,79,52.6,20,38,92.0,47.0
2013/2014,230476,Défenseur,54,52.6,20,38,2.0,47.0
2013/2014,189927,Défenseur,60,52.6,20,38,7.0,47.0
2013/2014,25792,Défenseur,59,52.8,19,36,5.0,49.0
2013/2014,140497,Défenseur,60,52.8,19,36,7.0,49.0
2013/2014,68253,Défenseur,82,52.9,18,34,97.0,49.0
2013/2014,29471,Défenseur,75,52.9,18,34,78.0,49.0
2013/2014,36180,Défenseur,74,52.9,18,34,71.0,49.0
2013/2014,107588,Défenseur,74,52.9,18,34,71.0,49.0
2013/2014,150590,Défenseur,61,52.9,18,34,9.0,49.0
2013/2014,361379,Défenseur,62,53.3,16,30,12.0,50.0
2013/2014,163901,Défenseur,67,53.3,16,30,35.0,50.0
2013/2014,139922,Défenseur,67,53.3,16,30,35.0,50.0
2013/2014,42773,Défenseur,64,53.3,16,30,19.0,50.0
2013/2014,190010,Défenseur,60,53.3,16,30,7.0,50.0
2013/2014,13554,Défenseur,62,53.3,16,30,12.0,50.0
2013/2014,363906,Défenseur,60,53.3,16,30,7.0,50.0
2013/2014,142282,Défenseur,61,53.3,16,30,9.0,50.0
2013/2014,24792,Défenseur,74,55.3,21,38,71.0,50.0
2013/2014,149583,Défenseur,74,55.3,21,38,71.0,50.0
2013/2014,32419,Défenseur,65,55.3,21,38,24.0,50.0
2013/2014,11329,Défenseur,68,55.3,21,38,40.0,50.0
2013/2014,229855,Défenseur,65,55.3,21,38,24.0,50.0
