transaction_id,client_id,article,montant,date,note,paiement,mois,annee,jour_semaine
TX00032,4060,Boots,3139.0,2023-01-26,3.4,Credit Card,2023-01,2023,Thursday
TX00033,3974,Flip-Flops,2026.0,2023-04-16,4.0,Cash,2023-04,2023,Sunday
TX00034,4110,Hoodie,2653.0,2022-10-11,4.2,Credit Card,2022-10,2022,Tuesday
TX00035,3984,Sweater,4859.0,2022-12-19,5.0,Cash,2022-12,2022,Monday
TX00036,4109,Blouse,3731.0,2023-03-02,,Credit Card,2023-03,2023,Thursday
TX00037,4054,Swimsuit,3393.0,2023-02-28,4.3,Cash,2023-02,2023,Tuesday
TX00038,4040,Kimono,3138.0,2023-05-12,,Credit Card,2023-05,2023,Friday
TX00039,4083,Cardigan,2636.0,2023-04-09,1.7,Cash,2023-04,2023,Sunday
TX00040,4122,Socks,2881.0,2023-02-22,,Credit Card,2023-02,2023,Wednesday
TX00041,3972,Pants,3378.0,2023-05-06,3.6,Cash,2023-05,2023,Saturday
TX00042,3980,Pajamas,2418.0,2023-05-26,2.2,Credit Card,2023-05,2023,Friday
TX00043,4012,Scarf,2379.0,2023-05-29,2.9,Credit Card,2023-05,2023,Monday
TX00044,3992,Backpack,101.0,2022-12-13,1.3,Credit Card,2022-12,2022,Tuesday
TX00045,4105,Dress,164.0,2022-10-20,3.2,Credit Card,2022-10,2022,Thursday
TX00046,4119,Boots,21.0,2023-04-03,3.9,Cash,2023-04,2023,Monday
TX00047,3957,Camisole,147.0,2022-11-04,4.7,Cash,2022-11,2022,Friday
TX00048,3995,Bowtie,30.0,2022-11-23,4.1,Cash,2022-11,2022,Wednesday
TX00049,4072,Poncho,170.0,2022-10-15,3.6,Credit Card,2022-10,2022,Saturday
TX00050,4093,Trousers,102.0,2023-05-25,2.1,Cash,2023-05,2023,Thursday
TX00051,4031,Blouse,190.0,2023-01-14,3.0,Cash,2023-01,2023,Saturday
TX00052,4114,Leggings,84.0,2023-06-15,3.8,Cash,2023-06,2023,Thursday
TX00053,4104,Backpack,69.0,2023-05-27,2.1,Cash,2023-05,2023,Saturday
TX00054,4071,Tunic,107.0,2022-12-03,1.5,Cash,2022-12,2022,Saturday
TX00055,4007,Dress,172.0,2023-04-05,1.9,Cash,2023-04,2023,Wednesday
TX00056,4009,Flannel Shirt,51.0,2023-04-16,1.8,Cash,2023-04,2023,Sunday
TX00057,4038,Tie,63.0,2023-02-13,4.3,Cash,2023-02,2023,Monday
TX00058,4033,Backpack,189.0,2023-08-31,4.9,Cash,2023-08,2023,Thursday
TX00059,4102,Cardigan,175.0,2023-06-05,3.6,Credit Card,2023-06,2023,Monday
TX00060,4068,Jeans,146.0,2023-08-26,1.1,Cash,2023-08,2023,Saturday
TX00061,4045,Gloves,51.0,2023-01-27,2.5,Credit Card,2023-01,2023,Friday
TX00062,3979,Camisole,79.0,2023-06-05,1.3,Cash,2023-06,2023,Monday
TX00063,4106,Trousers,173.0,2023-09-07,3.4,Credit Card,2023-09,2023,Thursday
TX00064,3959,Trousers,66.0,2022-11-02,4.5,Cash,2022-11,2022,Wednesday
TX00065,4113,Boots,24.0,2023-01-20,1.2,Credit Card,2023-01,2023,Friday
TX00066,4087,Scarf,18.0,2022-11-21,1.7,Credit Card,2022-11,2022,Monday
TX00067,4060,Polo Shirt,112.0,2023-06-08,1.2,Cash,2023-06,2023,Thursday
TX00068,3989,Sweater,64.0,2023-03-13,3.2,Credit Card,2023-03,2023,Monday
TX00069,4032,Wallet,155.0,2023-03-08,1.1,Credit Card,2023-03,2023,Wednesday
TX00070,3972,Boots,90.0,2023-01-26,4.6,Credit Card,2023-01,2023,Thursday
TX00071,4051,Umbrella,137.0,2023-06-30,4.6,Cash,2023-06,2023,Friday
TX00072,4097,Tank Top,174.0,2022-10-10,3.4,Cash,2022-10,2022,Monday
TX00073,3970,Camisole,77.0,2023-01-05,2.4,Cash,2023-01,2023,Thursday
TX00074,4100,Loafers,147.0,2023-03-02,3.9,Credit Card,2023-03,2023,Thursday
TX00075,4048,Pajamas,159.0,2022-11-08,1.2,Credit Card,2022-11,2022,Tuesday
TX00076,3985,Flannel Shirt,159.0,2023-03-05,2.6,Cash,2023-03,2023,Sunday
TX00077,4029,Leggings,66.0,2023-06-16,3.7,Cash,2023-06,2023,Friday
TX00078,3964,Hat,45.0,2023-03-17,4.8,Cash,2023-03,2023,Friday
TX00079,4017,Bowtie,33.0,2023-09-28,3.3,Credit Card,2023-09,2023,Thursday
TX00080,4067,Handbag,38.0,2023-05-25,3.1,Cash,2023-05,2023,Thursday
TX00081,4117,Kimono,162.0,2023-04-16,1.1,Cash,2023-04,2023,Sunday
TX00082,4054,Socks,129.0,2022-12-23,,Cash,2022-12,2022,Friday
TX00083,4060,Sweater,151.0,2023-07-17,3.2,Cash,2023-07,2023,Monday
TX00084,4054,Handbag,12.0,2022-12-29,2.6,Credit Card,2022-12,2022,Thursday
TX00085,4068,Pants,39.0,2023-03-21,2.4,Credit Card,2023-03,2023,Tuesday
TX00086,4096,Scarf,147.0,2023-02-11,4.1,Credit Card,2023-02,2023,Saturday
TX00087,4011,Blouse,174.0,2023-04-21,3.4,Cash,2023-04,2023,Friday
TX00088,4001,Hoodie,85.0,2023-09-17,3.3,Cash,2023-09,2023,Sunday
TX00089,4078,Hat,126.0,2023-06-29,2.1,Credit Card,2023-06,2023,Thursday
TX00090,4005,Sun Hat,194.0,2022-12-16,2.9,Credit Card,2022-12,2022,Friday
TX00091,4099,Scarf,138.0,2023-05-20,2.9,Credit Card,2023-05,2023,Saturday
TX00092,4055,Boots,139.0,2023-01-05,1.9,Credit Card,2023-01,2023,Thursday
TX00093,4049,Trench Coat,170.0,2023-07-13,,Cash,2023-07,2023,Thursday
TX00094,4063,Hoodie,173.0,2023-06-23,2.1,Credit Card,2023-06,2023,Friday
TX00095,3996,Belt,60.0,2023-03-04,2.3,Credit Card,2023-03,2023,Saturday
TX00096,3989,Overalls,148.0,2023-05-19,4.1,Credit Card,2023-05,2023,Friday
TX00097,3991,Blazer,145.0,2023-05-03,4.5,Credit Card,2023-05,2023,Wednesday
TX00098,3959,Coat,163.0,2023-05-09,3.5,Credit Card,2023-05,2023,Tuesday
TX00099,3975,Camisole,14.0,2023-02-07,3.5,Cash,2023-02,2023,Tuesday
TX00100,3961,Boots,88.0,2022-10-07,1.2,Cash,2022-10,2022,Friday
TX00101,3993,Belt,71.0,2023-05-18,4.4,Credit Card,2023-05,2023,Thursday
TX00102,4081,Hat,30.0,2023-09-01,1.2,Credit Card,2023-09,2023,Friday
TX00103,3991,Boots,27.0,2023-09-16,2.0,Credit Card,2023-09,2023,Saturday
TX00104,3978,Blazer,146.0,2023-01-15,3.7,Credit Card,2023-01,2023,Sunday
TX00105,3992,Cardigan,42.0,2022-12-14,2.4,Credit Card,2022-12,2022,Wednesday
TX00106,4121,Sunglasses,150.0,2023-06-03,3.4,Credit Card,2023-06,2023,Saturday
TX00107,4073,Handbag,165.0,2023-09-28,3.0,Credit Card,2023-09,2023,Thursday
TX00108,4111,Socks,64.0,2023-01-15,2.3,Credit Card,2023-01,2023,Sunday
TX00109,4065,Sneakers,196.0,2023-03-24,4.3,Credit Card,2023-03,2023,Friday
TX00110,4116,Onesie,192.0,2023-01-16,3.6,Credit Card,2023-01,2023,Monday
TX00111,4003,Hoodie,181.0,2023-07-09,1.6,Credit Card,2023-07,2023,Sunday
TX00112,4073,Swimsuit,122.0,2023-04-25,4.2,Credit Card,2023-04,2023,Tuesday
TX00113,4087,Vest,125.0,2023-06-02,2.6,Credit Card,2023-06,2023,Friday
TX00114,4098,Coat,96.0,2023-09-21,3.5,Credit Card,2023-09,2023,Thursday
TX00115,4055,Bowtie,160.0,2023-04-03,4.6,Cash,2023-04,2023,Monday
TX00116,4047,Belt,28.0,2023-08-07,,Cash,2023-08,2023,Monday
TX00117,4014,Trench Coat,25.0,2022-12-05,4.2,Cash,2022-12,2022,Monday
TX00118,4004,Flip-Flops,18.0,2023-01-21,4.1,Credit Card,2023-01,2023,Saturday
TX00119,4065,Poncho,28.0,2023-06-29,3.3,Credit Card,2023-06,2023,Thursday
TX00120,4111,Belt,81.0,2023-05-10,1.9,Credit Card,2023-05,2023,Wednesday
TX00121,3958,Tunic,64.0,2023-06-17,1.1,Cash,2023-06,2023,Saturday
TX00122,4104,Pants,195.0,2023-06-02,2.5,Cash,2023-06,2023,Friday
TX00123,4084,Onesie,156.0,2023-08-08,1.3,Credit Card,2023-08,2023,Tuesday
TX00124,4017,Jeans,72.0,2022-10-28,,Credit Card,2022-10,2022,Friday
TX00125,4085,Tunic,114.0,2023-04-28,1.9,Credit Card,2023-04,2023,Friday
TX00126,4096,Hoodie,118.0,2022-10-17,4.4,Cash,2022-10,2022,Monday
TX00127,4104,Tunic,196.0,2023-02-13,1.2,Cash,2023-02,2023,Monday
TX00128,3965,Loafers,175.0,2023-06-26,2.1,Cash,2023-06,2023,Monday
TX00129,4102,Pants,96.0,2023-07-31,2.0,Credit Card,2023-07,2023,Monday
TX00130,4080,Sun Hat,37.0,2023-09-14,2.4,Cash,2023-09,2023,Thursday
TX00131,4051,Camisole,58.0,2023-01-29,4.0,Cash,2023-01,2023,Sunday
TX00132,3985,Hat,45.0,2022-12-31,2.0,Credit Card,2022-12,2022,Saturday
TX00133,4105,Sandals,81.0,2022-10-31,4.5,Credit Card,2022-10,2022,Monday
TX00134,4080,Pajamas,29.0,2023-09-22,2.4,Credit Card,2023-09,2023,Friday
TX00135,3977,Overalls,150.0,2023-03-22,4.7,Cash,2023-03,2023,Wednesday
TX00136,4091,Overalls,148.0,2023-01-30,2.7,Cash,2023-01,2023,Monday
TX00137,4028,Cardigan,33.0,2023-02-11,4.3,Credit Card,2023-02,2023,Saturday
TX00138,4076,Pajamas,70.0,2022-10-05,3.2,Credit Card,2022-10,2022,Wednesday
TX00139,3977,Loafers,64.0,2022-10-15,1.6,Cash,2022-10,2022,Saturday
TX00140,4090,Onesie,25.0,2023-09-18,2.1,Cash,2023-09,2023,Monday
TX00141,4019,Blouse,126.0,2022-12-15,3.5,Credit Card,2022-12,2022,Thursday
TX00142,4077,Romper,188.0,2023-06-01,4.6,Credit Card,2023-06,2023,Thursday
TX00143,4118,Onesie,152.0,2023-01-12,1.1,Credit Card,2023-01,2023,Thursday
TX00144,3976,Socks,134.0,2023-07-24,2.1,Credit Card,2023-07,2023,Monday
TX00145,4095,Socks,24.0,2022-11-13,1.5,Cash,2022-11,2022,Sunday
TX00146,4105,T-shirt,148.0,2023-03-18,,Credit Card,2023-03,2023,Saturday
TX00147,4113,Trench Coat,22.0,2023-05-20,1.5,Cash,2023-05,2023,Saturday
TX00148,3970,Camisole,138.0,2023-05-09,4.7,Cash,2023-05,2023,Tuesday
TX00149,4044,Camisole,145.0,2023-02-10,2.4,Cash,2023-02,2023,Friday
TX00150,3959,Kimono,30.0,2023-03-11,1.5,Cash,2023-03,2023,Saturday
TX00151,4077,Vest,27.0,2023-01-08,4.6,Credit Card,2023-01,2023,Sunday
TX00152,4073,Tie,182.0,2023-09-16,3.5,Cash,2023-09,2023,Saturday
TX00153,4088,Vest,113.0,2023-09-02,1.2,Credit Card,2023-09,2023,Saturday
TX00154,4103,Swimsuit,73.0,2023-04-30,2.6,Cash,2023-04,2023,Sunday
TX00155,4041,Pajamas,20.0,2023-05-20,4.3,Cash,2023-05,2023,Saturday
TX00156,4064,Kimono,117.0,2022-10-31,2.9,Cash,2022-10,2022,Monday
TX00157,4047,Blazer,154.0,2023-06-01,1.7,Cash,2023-06,2023,Thursday
TX00158,4032,Backpack,76.0,2023-06-15,4.7,Cash,2023-06,2023,Thursday
TX00159,4031,Slippers,193.0,2023-08-02,1.3,Credit Card,2023-08,2023,Wednesday
TX00160,3999,Jacket,77.0,2023-05-27,3.4,Credit Card,2023-05,2023,Saturday
TX00161,3966,Tie,181.0,2023-06-14,3.6,Credit Card,2023-06,2023,Wednesday
TX00162,4109,Dress,127.0,2023-09-30,2.8,Cash,2023-09,2023,Saturday
TX00163,4034,Shorts,28.0,2023-03-24,3.4,Cash,2023-03,2023,Friday
TX00164,4023,Sunglasses,154.0,2023-02-09,2.4,Credit Card,2023-02,2023,Thursday
TX00165,3972,Coat,28.0,2022-12-22,4.6,Credit Card,2022-12,2022,Thursday
TX00166,4118,Socks,139.0,2023-05-13,4.4,Credit Card,2023-05,2023,Saturday
TX00167,4078,Tunic,99.0,2022-11-10,2.3,Cash,2022-11,2022,Thursday
TX00168,4105,Belt,72.0,2023-07-29,1.7,Credit Card,2023-07,2023,Saturday
TX00169,4000,Sandals,50.0,2023-09-27,4.3,Cash,2023-09,2023,Wednesday
TX00170,4103,Jumpsuit,149.0,2022-10-16,5.0,Cash,2022-10,2022,Sunday
TX00171,3970,Tunic,166.0,2023-02-02,3.1,Credit Card,2023-02,2023,Thursday
TX00172,4031,Camisole,177.0,2023-06-28,3.5,Cash,2023-06,2023,Wednesday
TX00173,4116,Raincoat,180.0,2023-02-11,,Cash,2023-02,2023,Saturday
TX00174,3963,Trench Coat,86.0,2022-12-16,1.5,Cash,2022-12,2022,Friday
TX00175,4030,Romper,36.0,2023-01-02,2.8,Credit Card,2023-01,2023,Monday
TX00176,4081,Kimono,44.0,2023-06-03,2.2,Credit Card,2023-06,2023,Saturday
TX00177,3978,Handbag,37.0,2023-01-17,5.0,Cash,2023-01,2023,Tuesday
TX00178,3989,Tank Top,49.0,2023-04-26,4.7,Credit Card,2023-04,2023,Wednesday
TX00179,4086,Swimsuit,164.0,2022-12-07,1.6,Cash,2022-12,2022,Wednesday
TX00180,3976,Tank Top,97.0,2023-05-23,4.4,Cash,2023-05,2023,Tuesday
TX00181,4028,Sweater,172.0,2023-01-15,1.1,Credit Card,2023-01,2023,Sunday
TX00182,4021,Backpack,139.0,2023-01-02,4.8,Cash,2023-01,2023,Monday
TX00183,3990,Pajamas,23.0,2022-11-01,4.2,Credit Card,2022-11,2022,Tuesday
TX00184,4028,Poncho,80.0,2022-12-31,1.1,Cash,2022-12,2022,Saturday
TX00185,4022,Boots,43.0,2023-08-27,3.9,Cash,2023-08,2023,Sunday
TX00186,3960,Onesie,77.0,2022-12-16,4.3,Cash,2022-12,2022,Friday
TX00187,4111,Swimsuit,190.0,2022-11-23,4.4,Credit Card,2022-11,2022,Wednesday
TX00188,4001,Handbag,12.0,2022-11-25,2.7,Cash,2022-11,2022,Friday
TX00189,3995,Umbrella,186.0,2023-05-27,3.9,Cash,2023-05,2023,Saturday
TX00190,4071,Jeans,149.0,2023-04-09,2.4,Cash,2023-04,2023,Sunday
TX00191,4001,Wallet,151.0,2023-06-09,3.9,Cash,2023-06,2023,Friday
TX00192,4081,Sandals,20.0,2022-12-02,4.1,Cash,2022-12,2022,Friday
TX00193,4003,Loafers,63.0,2023-06-10,2.3,Credit Card,2023-06,2023,Saturday
TX00194,4092,Overalls,180.0,2022-11-25,2.7,Cash,2022-11,2022,Friday
TX00195,4044,Pants,114.0,2022-12-25,4.4,Credit Card,2022-12,2022,Sunday
TX00196,3978,Sandals,49.0,2022-10-31,4.5,Cash,2022-10,2022,Monday
TX00197,3994,Boots,70.0,2023-03-01,,Cash,2023-03,2023,Wednesday
TX00198,4109,Loafers,55.0,2022-12-21,1.0,Credit Card,2022-12,2022,Wednesday
TX00199,3996,Slippers,16.0,2023-08-13,2.5,Credit Card,2023-08,2023,Sunday
TX00200,4062,Coat,115.0,2023-04-10,1.6,Credit Card,2023-04,2023,Monday
TX00201,4055,T-shirt,198.0,2022-11-29,3.9,Credit Card,2022-11,2022,Tuesday
TX00202,4017,Shorts,78.0,2023-02-26,1.8,Credit Card,2023-02,2023,Sunday
TX00203,4120,Hoodie,107.0,2023-07-11,4.0,Cash,2023-07,2023,Tuesday
TX00204,3999,Backpack,130.0,2023-04-26,,Cash,2023-04,2023,Wednesday
TX00205,4010,Romper,127.0,2023-07-24,,Credit Card,2023-07,2023,Monday
TX00206,4104,Pajamas,68.0,2023-07-12,1.8,Cash,2023-07,2023,Wednesday
TX00207,4045,Vest,178.0,2023-01-29,2.7,Credit Card,2023-01,2023,Sunday
TX00208,4121,Slippers,27.0,2023-04-11,3.6,Credit Card,2023-04,2023,Tuesday
TX00209,4024,Hoodie,81.0,2022-12-30,3.6,Credit Card,2022-12,2022,Friday
TX00210,3986,Flannel Shirt,140.0,2022-11-24,2.2,Cash,2022-11,2022,Thursday
TX00211,3970,Socks,147.0,2023-05-07,2.2,Credit Card,2023-05,2023,Sunday
TX00212,3999,Belt,17.0,2023-07-25,4.2,Credit Card,2023-07,2023,Tuesday
TX00213,4059,Belt,55.0,2023-01-16,1.4,Cash,2023-01,2023,Monday
TX00214,4078,Sandals,77.0,2023-07-28,4.5,Cash,2023-07,2023,Friday
TX00215,4078,Blazer,98.0,2023-01-05,2.3,Credit Card,2023-01,2023,Thursday
TX00216,4093,Trench Coat,90.0,2022-10-17,1.5,Cash,2022-10,2022,Monday
TX00217,4016,Polo Shirt,140.0,2023-01-02,2.3,Cash,2023-01,2023,Monday
TX00218,4056,Pajamas,58.0,2023-07-20,4.1,Cash,2023-07,2023,Thursday
TX00219,4078,Slippers,191.0,2023-07-10,4.2,Credit Card,2023-07,2023,Monday
TX00220,4024,Blazer,143.0,2022-10-09,2.6,Credit Card,2022-10,2022,Sunday
TX00221,3994,Camisole,147.0,2022-11-19,2.2,Cash,2022-11,2022,Saturday
TX00222,4092,Tie,199.0,2023-02-15,4.6,Cash,2023-02,2023,Wednesday
TX00223,4068,Tunic,60.0,2023-01-04,1.2,Cash,2023-01,2023,Wednesday
TX00224,3960,Camisole,27.0,2023-09-14,2.0,Credit Card,2023-09,2023,Thursday
TX00225,4030,Hoodie,94.0,2023-04-23,2.6,Credit Card,2023-04,2023,Sunday
TX00226,4071,Skirt,179.0,2023-02-16,2.6,Credit Card,2023-02,2023,Thursday
TX00227,4054,Handbag,194.0,2023-06-12,2.1,Credit Card,2023-06,2023,Monday
TX00228,4037,Sunglasses,139.0,2022-11-10,2.4,Cash,2022-11,2022,Thursday
TX00229,4092,Jumpsuit,114.0,2022-11-02,2.2,Credit Card,2022-11,2022,Wednesday
TX00230,3967,Raincoat,188.0,2023-05-06,3.3,Cash,2023-05,2023,Saturday
TX00231,3981,Pants,42.0,2023-07-08,1.8,Credit Card,2023-07,2023,Saturday
TX00232,4120,Poncho,107.0,2022-11-07,2.3,Cash,2022-11,2022,Monday
TX00233,4047,Scarf,54.0,2023-05-20,1.1,Credit Card,2023-05,2023,Saturday
TX00234,4067,Poncho,87.0,2023-05-27,4.2,Credit Card,2023-05,2023,Saturday
TX00235,4113,Vest,10.0,2022-10-11,,Credit Card,2022-10,2022,Tuesday
TX00236,4026,Tank Top,63.0,2023-01-20,4.6,Cash,2023-01,2023,Friday
TX00237,4042,Blazer,158.0,2022-11-12,3.2,Cash,2022-11,2022,Saturday
TX00238,4026,T-shirt,92.0,2023-04-24,3.1,Credit Card,2023-04,2023,Monday
TX00239,4025,Coat,123.0,2023-01-09,1.8,Cash,2023-01,2023,Monday
TX00240,3982,Kimono,140.0,2023-05-18,3.1,Credit Card,2023-05,2023,Thursday
TX00241,4022,T-shirt,198.0,2022-10-22,1.9,Cash,2022-10,2022,Saturday
TX00242,4075,Jumpsuit,172.0,2022-10-07,4.8,Credit Card,2022-10,2022,Friday
TX00243,4018,Tank Top,33.0,2022-10-18,,Credit Card,2022-10,2022,Tuesday
TX00244,4107,Tie,70.0,2023-02-28,,Cash,2023-02,2023,Tuesday
TX00245,4006,Flannel Shirt,67.0,2023-07-27,1.4,Cash,2023-07,2023,Thursday
TX00246,4090,Tie,47.0,2023-01-11,2.9,Cash,2023-01,2023,Wednesday
TX00247,4003,Cardigan,131.0,2023-01-04,4.1,Credit Card,2023-01,2023,Wednesday
TX00248,4037,Camisole,28.0,2023-05-01,2.1,Cash,2023-05,2023,Monday
TX00249,4097,Belt,171.0,2023-05-24,4.1,Cash,2023-05,2023,Wednesday
TX00250,3959,Coat,193.0,2023-01-03,1.5,Credit Card,2023-01,2023,Tuesday
TX00251,3959,Hat,136.0,2023-02-08,2.1,Credit Card,2023-02,2023,Wednesday
TX00252,3974,Swimsuit,47.0,2023-02-22,,Credit Card,2023-02,2023,Wednesday
TX00253,3960,Hat,11.0,2023-04-12,,Credit Card,2023-04,2023,Wednesday
TX00254,4062,Romper,37.0,2023-07-24,4.0,Cash,2023-07,2023,Monday
TX00255,3982,Blouse,66.0,2023-01-24,1.1,Cash,2023-01,2023,Tuesday
TX00256,3983,Kimono,142.0,2023-05-15,3.9,Credit Card,2023-05,2023,Monday
TX00257,4071,Hat,152.0,2022-12-22,1.8,Credit Card,2022-12,2022,Thursday
TX00258,4046,Trench Coat,41.0,2023-07-17,2.2,Credit Card,2023-07,2023,Monday
TX00259,4013,Shorts,128.0,2023-02-21,3.0,Cash,2023-02,2023,Tuesday
TX00260,4029,Bowtie,153.0,2023-05-17,,Credit Card,2023-05,2023,Wednesday
TX00261,4021,Sunglasses,123.0,2023-05-11,1.8,Cash,2023-05,2023,Thursday
TX00262,4006,Scarf,194.0,2023-02-02,3.6,Cash,2023-02,2023,Thursday
TX00263,3965,Hat,119.0,2023-07-13,2.2,Cash,2023-07,2023,Thursday
TX00264,3963,Socks,150.0,2022-10-04,,Credit Card,2022-10,2022,Tuesday
TX00265,4115,Sweater,50.0,2023-07-05,3.2,Cash,2023-07,2023,Wednesday
TX00266,3980,Poncho,131.0,2023-01-23,4.6,Credit Card,2023-01,2023,Monday
TX00267,3971,Hat,73.0,2023-07-17,2.0,Credit Card,2023-07,2023,Monday
TX00268,4109,Tunic,80.0,2022-10-18,,Credit Card,2022-10,2022,Tuesday
TX00269,4012,Socks,143.0,2023-04-23,2.6,Cash,2023-04,2023,Sunday
TX00270,4110,Sandals,71.0,2023-03-17,3.2,Cash,2023-03,2023,Friday
TX00271,4120,Tie,29.0,2023-02-12,1.9,Credit Card,2023-02,2023,Sunday
TX00272,3988,Bowtie,70.0,2022-11-02,2.6,Credit Card,2022-11,2022,Wednesday
TX00273,3987,Handbag,91.0,2022-12-21,2.5,Cash,2022-12,2022,Wednesday
TX00274,3979,Flip-Flops,30.0,2023-03-30,3.6,Cash,2023-03,2023,Thursday
TX00275,3990,Handbag,187.0,2023-08-11,1.4,Credit Card,2023-08,2023,Friday
TX00276,4122,Hoodie,116.0,2023-03-17,2.0,Cash,2023-03,2023,Friday
TX00277,4101,Cardigan,148.0,2022-11-26,3.5,Credit Card,2022-11,2022,Saturday
TX00278,4004,Hoodie,25.0,2023-09-24,3.9,Credit Card,2023-09,2023,Sunday
TX00279,3985,Pajamas,117.0,2023-08-07,1.9,Cash,2023-08,2023,Monday
TX00280,4004,Shorts,159.0,2023-01-22,2.0,Cash,2023-01,2023,Sunday
TX00281,4021,Sneakers,15.0,2023-08-07,2.4,Credit Card,2023-08,2023,Monday
TX00282,4032,Jacket,157.0,2023-01-25,2.3,Credit Card,2023-01,2023,Wednesday
TX00283,4076,Trousers,11.0,2022-12-06,2.6,Credit Card,2022-12,2022,Tuesday
TX00284,3976,Jeans,86.0,2023-05-26,,Cash,2023-05,2023,Friday
TX00285,4120,Slippers,117.0,2023-09-25,4.0,Credit Card,2023-09,2023,Monday
TX00286,4073,Boots,198.0,2022-12-21,3.2,Cash,2022-12,2022,Wednesday
TX00287,4027,Onesie,164.0,2023-06-11,3.6,Cash,2023-06,2023,Sunday
TX00288,4066,Kimono,134.0,2023-01-02,3.8,Credit Card,2023-01,2023,Monday
TX00289,4039,Umbrella,121.0,2023-07-05,4.4,Cash,2023-07,2023,Wednesday
TX00290,4022,Tunic,109.0,2022-11-15,1.3,Credit Card,2022-11,2022,Tuesday
TX00291,3998,Skirt,183.0,2022-12-22,3.8,Credit Card,2022-12,2022,Thursday
TX00292,3975,T-shirt,195.0,2023-07-22,4.0,Cash,2023-07,2023,Saturday
TX00293,3972,Sneakers,42.0,2023-04-18,2.8,Credit Card,2023-04,2023,Tuesday
TX00294,4054,Tunic,146.0,2023-01-23,1.2,Credit Card,2023-01,2023,Monday
TX00295,4042,Wallet,154.0,2023-08-31,2.9,Credit Card,2023-08,2023,Thursday
TX00296,3972,Slippers,31.0,2022-10-26,3.2,Credit Card,2022-10,2022,Wednesday
TX00297,4023,Dress,44.0,2023-03-03,2.2,Cash,2023-03,2023,Friday
TX00298,4024,Skirt,56.0,2023-07-17,2.2,Credit Card,2023-07,2023,Monday
TX00299,4069,Flannel Shirt,64.0,2022-11-01,3.5,Cash,2022-11,2022,Tuesday
TX00300,3974,T-shirt,96.0,2022-12-05,3.6,Credit Card,2022-12,2022,Monday
TX00301,4082,Pajamas,107.0,2023-05-10,3.1,Cash,2023-05,2023,Wednesday
TX00302,4008,Loafers,117.0,2023-05-04,3.5,Credit Card,2023-05,2023,Thursday
